Daily Rolling Window Backtest Summary
================================================================================

CONFIGURATION:
  Training window: 30 days
  Rolling period: 200 days
  Position size: 100.0%
  Initial capital: $10000

OVERALL PERFORMANCE:
  Total days analyzed: 200
  Backtest period: 2022-02-17 to 2022-12-02
  Strategy cumulative return: 93.79%
  Buy & Hold cumulative return: -8.60%
    Start: $444.13 on 2022-02-17
    End: $405.93 on 2022-12-02
  Strategy vs. Buy & Hold: +102.39%
  Win rate (positive return days): 58.5%
  Outperformance rate (days beating Buy & Hold): 62.0%

DAILY RESULTS:
  Day 1 (2022-02-17): Strategy 0.00%, B&H -1.66% ($444.13 -> $436.75), Diff +1.66%, Thresholds: Buy=1.90%, Sell=1.20%
  Day 171 (2022-10-21): Strategy 1.04%, B&H 3.16% ($363.94 -> $375.45), Diff -2.12%, Thresholds: Buy=1.10%, Sell=1.80%
  Day 172 (2022-10-24): Strategy 0.00%, B&H 1.60% ($373.28 -> $379.25), Diff -1.60%, Thresholds: Buy=-0.50%, Sell=2.00%
  Day 173 (2022-10-25): Strategy 0.21%, B&H 0.69% ($378.11 -> $380.72), Diff -0.48%, Thresholds: Buy=-0.50%, Sell=-0.50%
  Day 174 (2022-10-26): Strategy -0.17%, B&H 0.26% ($382.86 -> $383.87), Diff -0.43%, Thresholds: Buy=-0.50%, Sell=2.00%
  Day 175 (2022-10-27): Strategy 0.67%, B&H -1.55% ($383.09 -> $377.14), Diff +2.22%, Thresholds: Buy=1.70%, Sell=1.60%
  Day 176 (2022-10-28): Strategy 0.00%, B&H 2.88% ($379.26 -> $390.20), Diff -2.88%, Thresholds: Buy=1.40%, Sell=1.90%
  Day 177 (2022-10-31): Strategy -0.03%, B&H -0.01% ($387.61 -> $387.58), Diff -0.03%, Thresholds: Buy=0.40%, Sell=-0.50%
  Day 178 (2022-11-01): Strategy 0.31%, B&H -1.12% ($389.16 -> $384.81), Diff +1.42%, Thresholds: Buy=-0.50%, Sell=1.20%
  Day 179 (2022-11-02): Strategy 0.91%, B&H -0.25% ($385.31 -> $384.35), Diff +1.16%, Thresholds: Buy=0.90%, Sell=2.00%
  Day 180 (2022-11-03): Strategy 0.00%, B&H -1.26% ($374.93 -> $370.20), Diff +1.26%, Thresholds: Buy=1.70%, Sell=-0.50%
  Day 181 (2022-11-04): Strategy 2.40%, B&H 0.70% ($373.84 -> $376.45), Diff +1.70%, Thresholds: Buy=1.00%, Sell=1.90%
  Day 182 (2022-11-07): Strategy 0.78%, B&H 0.90% ($377.70 -> $381.09), Diff -0.12%, Thresholds: Buy=0.60%, Sell=2.00%
  Day 183 (2022-11-08): Strategy 0.61%, B&H 0.19% ($380.94 -> $381.65), Diff +0.43%, Thresholds: Buy=2.00%, Sell=1.80%
  Day 184 (2022-11-09): Strategy -0.02%, B&H -1.74% ($381.43 -> $374.81), Diff +1.72%, Thresholds: Buy=2.00%, Sell=-0.50%
  Day 185 (2022-11-10): Strategy 5.16%, B&H 5.58% ($375.00 -> $395.94), Diff -0.42%, Thresholds: Buy=-0.50%, Sell=1.90%
  Day 186 (2022-11-11): Strategy 1.31%, B&H 1.20% ($394.21 -> $398.93), Diff +0.11%, Thresholds: Buy=0.70%, Sell=2.00%
  Day 187 (2022-11-14): Strategy -0.47%, B&H -0.51% ($397.20 -> $395.18), Diff +0.04%, Thresholds: Buy=1.00%, Sell=1.00%
  Day 188 (2022-11-15): Strategy 0.35%, B&H -0.25% ($397.65 -> $396.65), Diff +0.60%, Thresholds: Buy=1.50%, Sell=2.00%
  Day 189 (2022-11-16): Strategy -0.19%, B&H -0.73% ($399.33 -> $396.40), Diff +0.55%, Thresholds: Buy=1.80%, Sell=0.60%
  Day 190 (2022-11-17): Strategy 1.01%, B&H -0.17% ($395.34 -> $394.66), Diff +1.18%, Thresholds: Buy=1.70%, Sell=1.10%
  Day 191 (2022-11-18): Strategy 0.00%, B&H 0.08% ($394.94 -> $395.24), Diff -0.08%, Thresholds: Buy=1.20%, Sell=1.70%
  Day 192 (2022-11-21): Strategy 0.18%, B&H 0.18% ($394.05 -> $394.75), Diff +0.00%, Thresholds: Buy=0.70%, Sell=1.50%
  Day 193 (2022-11-22): Strategy 1.45%, B&H 1.45% ($394.39 -> $400.09), Diff -0.00%, Thresholds: Buy=-0.50%, Sell=1.70%
  Day 194 (2022-11-23): Strategy 0.78%, B&H 0.65% ($400.40 -> $403.01), Diff +0.13%, Thresholds: Buy=1.10%, Sell=1.90%
  Day 195 (2022-11-25): Strategy 0.03%, B&H -0.16% ($402.90 -> $402.26), Diff +0.19%, Thresholds: Buy=1.20%, Sell=1.60%
  Day 196 (2022-11-28): Strategy 0.33%, B&H -0.85% ($399.93 -> $396.54), Diff +1.18%, Thresholds: Buy=1.30%, Sell=0.70%
  Day 197 (2022-11-29): Strategy 0.00%, B&H -0.59% ($397.86 -> $395.52), Diff +0.59%, Thresholds: Buy=1.60%, Sell=1.10%
  Day 198 (2022-11-30): Strategy 0.00%, B&H 2.99% ($396.40 -> $408.26), Diff -2.99%, Thresholds: Buy=1.40%, Sell=1.40%
  Day 199 (2022-12-01): Strategy 0.00%, B&H -0.26% ($407.27 -> $406.23), Diff +0.26%, Thresholds: Buy=2.00%, Sell=1.70%
  Day 200 (2022-12-02): Strategy 0.00%, B&H -0.37% ($407.44 -> $405.93), Diff +0.37%, Thresholds: Buy=1.50%, Sell=1.50%

ANALYSIS:
The daily rolling window strategy OUTPERFORMED Buy & Hold over the 200-day period by +102.39%.
